# run: /home/tulay/桌面/t800-urkl-tracker/lens110RL/lens110/legged_lab_lbot/logs/rsl_rl/lens110_deepmimic/2026-09-01_11-59-20
# checkpoints: 168
# saved size each: 5992072 bytes
iteration	file	size_bytes	reward	ep_seconds	finish_percent	rootdev_percent	badorient_percent	basecontact_percent
11800	model_11800.pt	5992072	51.16	31.12	74.2	22.9	0.0	2.9
11900	model_11900.pt	5992072	51.27	31.40	73.8	23.8	0.0	2.3
12000	model_12000.pt	5992072	44.93	27.59	69.2	26.6	0.0	4.2
12100	model_12100.pt	5992072	49.12	30.16	68.9	28.2	0.1	2.8
12200	model_12200.pt	5992072	48.59	29.76	70.2	26.2	0.0	3.6
12300	model_12300.pt	5992072	50.03	30.66	69.3	25.8	0.0	4.8
12400	model_12400.pt	5992072	50.84	31.16	71.5	24.0	0.0	4.5
12500	model_12500.pt	5992072	50.56	30.84	75.3	21.4	0.0	3.3
12600	model_12600.pt	5992072	52.40	31.98	75.1	22.4	0.0	2.5
12700	model_12700.pt	5992072	53.02	32.20	74.0	22.1	0.0	3.9
12800	model_12800.pt	5992072	50.02	30.47	76.9	19.8	0.0	3.3
12900	model_12900.pt	5992072	51.21	31.15	75.4	21.2	0.0	3.4
13000	model_13000.pt	5992072	52.89	32.14	74.5	21.0	0.0	4.5
13100	model_13100.pt	5992072	53.22	32.36	78.1	17.4	0.0	4.5
13200	model_13200.pt	5992072	54.11	32.77	81.0	15.2	0.0	3.7
13300	model_13300.pt	5992072	49.66	30.17	77.5	19.1	0.0	3.4
13400	model_13400.pt	5992072	51.26	31.23	74.4	20.8	0.0	4.8
13500	model_13500.pt	5992072	50.19	30.63	71.3	26.1	0.0	2.5
13600	model_13600.pt	5992072	49.93	30.48	71.3	24.7	0.0	4.0
13700	model_13700.pt	5992072	51.10	31.07	71.8	24.0	0.0	4.2
13800	model_13800.pt	5992072	51.07	31.12	76.8	19.7	0.0	3.5
13900	model_13900.pt	5992072	50.31	30.58	77.3	20.4	0.0	2.2
14000	model_14000.pt	5992072	51.90	31.65	76.7	20.5	0.0	2.8
14100	model_14100.pt	5992072	51.09	30.90	77.6	18.5	0.0	3.9
14200	model_14200.pt	5992072	53.64	32.55	79.7	17.8	0.0	2.4
14300	model_14300.pt	5992072	51.83	31.42	78.9	17.6	0.0	3.4
14400	model_14400.pt	5992072	51.87	31.43	76.6	18.7	0.1	4.6
14500	model_14500.pt	5992072	51.45	31.28	76.0	20.2	0.0	3.8
14600	model_14600.pt	5992072	50.73	30.75	75.6	21.5	0.0	2.9
14700	model_14700.pt	5992072	51.36	31.18	76.6	20.3	0.0	3.1
14800	model_14800.pt	5992072	49.66	30.22	73.3	20.7	0.0	6.0
14900	model_14900.pt	5992072	50.43	30.62	76.2	20.4	0.0	3.4
15000	model_15000.pt	5992072	46.04	28.08	74.1	23.3	0.0	2.6
15100	model_15100.pt	5992072	51.01	30.97	71.6	24.1	0.0	4.3
15200	model_15200.pt	5992072	49.99	30.49	70.9	24.8	0.0	4.3
15300	model_15300.pt	5992072	51.31	31.12	75.1	20.3	0.0	4.6
15400	model_15400.pt	5992072	52.31	31.76	78.0	18.8	0.0	3.2
15500	model_15500.pt	5992072	53.82	32.55	80.0	17.0	0.0	3.0
15600	model_15600.pt	5992072	54.46	32.84	79.3	17.6	0.0	3.2
15700	model_15700.pt	5992072	53.67	32.48	81.5	15.7	0.0	2.7
15800	model_15800.pt	5992072	51.64	31.34	81.8	13.5	0.0	4.7
15900	model_15900.pt	5992072	50.50	30.46	78.4	15.5	0.0	6.1
16000	model_16000.pt	5992072	53.32	32.27	78.6	17.3	0.0	4.1
16100	model_16100.pt	5992072	51.16	31.08	77.9	18.0	0.0	4.1
16200	model_16200.pt	5992072	52.93	32.06	79.7	17.2	0.0	3.0
16300	model_16300.pt	5992072	51.50	31.21	77.2	18.1	0.0	4.7
16400	model_16400.pt	5992072	53.58	32.41	77.0	20.1	0.0	2.9
16500	model_16500.pt	5992072	54.06	32.47	79.8	17.1	0.0	3.1
16600	model_16600.pt	5992072	54.25	32.70	79.6	17.5	0.0	2.9
16700	model_16700.pt	5992072	52.67	31.91	78.2	18.5	0.0	3.3
